Spieltag;Heim-Mansch.;Gast-Mansch.;Heim-Ergebnis;Gast-Ergebnis;Heim-Tore;Gast-Tore;Heim-Tore-insg-gemacht;Heim-Tore-Insg-bekommen;Heim-insg-Tordiff.;Gast-Tore-insg-gemacht;Gast-Tore-insg-bekommen;Gast-insg.-Tordiff.;Heim-Heim-Tore-insg-gemacht;Heim-Heim-Tore-insg-bekommen;Heim-Heim-Tordiff.;Gast-Ausw-Tore-insg-gemacht;Gast-Ausw.-Tore-insg-bekommen;Gast-Ausw.Tordiff.;Heim-Punkte;Gast-Punkte;Heim-Punkte-insg;Gast-Punkte-Insg;;Heim-Mansch.;Gast-Mansch.;Gast-Tore;Heim-Tore;;Gast-Mansch.;Heim-Mansch.;Gast-Tore;Heim-Tore;;Gast-Mansch.;Heim-Mansch.;Heim-Tore;Gast-Tore;;Gast-Punkte;Heim-Punkte
1;Rapid;Mattersburg;U;U;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;Rapid;Mattersburg;2;2;;Mattersburg;Rapid;2;2;;Mattersburg;Rapid;2;2;;1;1
1;WAC;Salzburg;N;S;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;;WAC;Salzburg;2;0;;Salzburg;WAC;2;0;;Salzburg;WAC;0;2;;3;0
1;LASK;Admira;S;N;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;LASK;Admira;0;3;;Admira;LASK;0;3;;Admira;LASK;3;0;;0;3
1;Altach;Austria;S;N;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;Altach;Austria;0;3;;Austria;Altach;0;3;;Austria;Altach;3;0;;0;3
1;Graz;SKN;S;N;3;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;Graz;SKN;2;3;;SKN;Graz;2;3;;SKN;Graz;3;2;;0;3
2;Salzburg;LASK;U;U;1;1;2;0;2;3;0;3;0;0;0;0;0;0;1;1;3;3;;Salzburg;LASK;1;1;;LASK;Salzburg;1;1;;LASK;Salzburg;1;1;;1;1
2;Mattersburg;WAC;S;N;1;0;2;0;2;0;2;-2;0;0;0;0;0;0;3;0;1;0;;Mattersburg;WAC;0;1;;WAC;Mattersburg;0;1;;WAC;Mattersburg;1;0;;0;3
2;SKN;Rapid;N;S;1;4;2;0;2;2;2;0;0;0;0;0;0;0;0;3;0;1;;SKN;Rapid;4;1;;Rapid;SKN;4;1;;Rapid;SKN;1;4;;3;0
2;Austria;Graz;N;S;2;3;0;0;0;3;2;1;0;0;0;0;0;0;0;3;0;3;;Austria;Graz;3;2;;Graz;Austria;3;2;;Graz;Austria;2;3;;3;0
2;Admira;Altach;S;N;4;1;0;0;0;3;0;3;0;0;0;0;0;0;3;0;0;3;;Admira;Altach;1;4;;Altach;Admira;1;4;;Altach;Admira;4;1;;0;3
3;LASK;SKN;S;N;2;0;4;0;4;3;7;-4;3;0;3;2;3;-1;3;0;4;0;;LASK;SKN;0;2;;SKN;LASK;0;2;;SKN;LASK;2;0;;0;3
3;Salzburg;Admira;S;N;5;1;3;1;2;4;4;0;1;1;0;0;3;-3;3;0;4;3;;Salzburg;Admira;1;5;;Admira;Salzburg;1;5;;Admira;Salzburg;5;1;;0;3
3;WAC;Altach;S;N;1;0;0;2;-2;4;4;0;0;2;-2;1;4;-3;3;0;0;3;;WAC;Altach;0;1;;Altach;WAC;0;1;;Altach;WAC;1;0;;0;3
3;Rapid;Austria;U;U;2;2;6;2;4;2;6;-4;2;2;0;0;3;-3;1;1;4;0;;Rapid;Austria;2;2;;Austria;Rapid;2;2;;Austria;Rapid;2;2;;1;1
3;Mattersburg;Graz;N;S;2;3;3;0;3;6;4;2;1;0;1;3;2;1;0;3;4;6;;Mattersburg;Graz;3;2;;Graz;Mattersburg;3;2;;Graz;Mattersburg;2;3;;3;0
4;Altach;Salzburg;N;S;0;1;4;0;4;8;2;6;3;0;3;2;0;2;0;3;3;7;;Altach;Salzburg;1;0;;Salzburg;Altach;1;0;;Salzburg;Altach;0;1;;3;0
4;SKN;Mattersburg;U;U;0;0;3;4;-1;5;5;0;1;4;-3;2;2;0;1;1;0;4;;SKN;Mattersburg;0;0;;Mattersburg;SKN;0;0;;Mattersburg;SKN;0;0;;1;1
4;Austria;LASK;S;N;2;0;4;3;1;6;1;5;2;3;-1;1;1;0;3;0;1;7;;Austria;LASK;0;2;;LASK;Austria;0;2;;LASK;Austria;2;0;;0;3
4;Graz;WAC;S;N;2;1;9;2;7;1;3;-2;3;2;1;0;1;-1;3;0;9;3;;Graz;WAC;1;2;;WAC;Graz;1;2;;WAC;Graz;2;1;;0;3
4;Admira;Rapid;S;N;3;1;5;1;4;8;5;3;4;1;3;4;1;3;3;0;3;5;;Admira;Rapid;1;3;;Rapid;Admira;1;3;;Rapid;Admira;3;1;;0;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
